IdCaso,Id,COD_DANE_MUN,DIAH,MESH,ANNOH,DEPTO_CASO,MUNINICIO_CASO,Sexo,Etnia,OcupacionVictima,CalidadVictima,TipoPoblacionVulnerable,MilitantePolitico,Grupo,DESCRIPCION_GRUPO,Estado
187570,226392,41668,22,9,1988,Huila,San agustín,H,,Sin información,Civil,,,,,Publicado
186026,226394,5120,31,10,1999,Antioquia,Cáceres,H,,Comerciante,Civil,,,,,Publicado
186063,226395,5670,1,5,2000,Antioquia,San roque,H,,Campesino,Civil,,,,,Publicado
186247,226400,54670,3,5,2003,Norte de santander,San calixto,H,,Sin información,Civil,,,,,Publicado
186294,226403,44430,14,7,2004,La guajira,Maicao,H,,Conductor/motorista,Civil,,,,,Publicado
204357,226404,54810,12,8,2006,Norte de santander,Tibú,H,,Comerciante,Civil,,,,,Publicado
186345,226405,19364,16,9,2006,Cauca,Jambaló,H,Indígena,Sin información,Civil,,,,,Publicado
203054,226407,5361,0,0,0,Antioquia,Ituango,S,,Sin información,Civil,,,,,Publicado
186414,226408,5837,0,0,0,Antioquia,Turbo,H,,Sin información,Civil,,,,,Publicado
186464,226413,5483,31,12,1995,Antioquia,Nariño,H,,Sin información,Civil,,,,,Publicado
186464,226414,5483,31,12,1995,Antioquia,Nariño,M,,Sin información,Civil,Maestro o educador,,,,Publicado
186563,226415,5649,20,2,2002,Antioquia,San carlos,M,,Sin información,Civil,,,,,Publicado
186833,226423,13244,17,8,2000,Bolívar,El carmen de bolívar,S,,Sin información,Civil,,,,,Publicado
186833,226424,13244,17,8,2000,Bolívar,El carmen de bolívar,S,,Sin información,Civil,,,,,Publicado
186833,226425,13244,17,8,2000,Bolívar,El carmen de bolívar,S,,Sin información,Civil,,,,,Publicado
186609,226426,5001,12,3,1960,Antioquia,Medellín,M,,Sin información,Civil,Familiar de combatiente,,,,Publicado
186838,226427,27150,30,1,2010,Chocó,Carmen del darién,S,,Sin información,Civil,,,,,Publicado
204870,226428,81065,2,6,2002,Arauca,Arauquita,H,,Economía informal,Civil,,,,,Publicado
204870,226429,81065,2,6,2002,Arauca,Arauquita,H,,Sin información,Civil,,,,,Publicado
204870,226430,81065,2,6,2002,Arauca,Arauquita,H,,Sin información,Civil,,,,,Publicado
204870,226431,81065,2,6,2002,Arauca,Arauquita,H,,Sin información,Civil,,,,,Publicado
186733,226432,23068,11,3,1997,Córdoba,Ayapel,H,,No aplica,Civil,,,,,Publicado
186733,226433,23068,11,3,1997,Córdoba,Ayapel,H,,Sin información,Civil,,,,,Publicado
203253,226434,11001,7,8,2002,"Bogotá, d.c.","Bogotá, d.c.",M,,Sin información,Civil,,,,,Publicado
203253,226435,11001,7,8,2002,"Bogotá, d.c.","Bogotá, d.c.",M,,Sin información,Civil,,,,,Publicado
203253,226436,11001,7,8,2002,"Bogotá, d.c.","Bogotá, d.c.",M,,Sin información,Civil,,,,,Publicado
203253,226437,11001,7,8,2002,"Bogotá, d.c.","Bogotá, d.c.",M,,Sin información,Civil,,,,,Publicado
186663,226438,13655,10,10,2003,Bolívar,San jacinto del cauca,H,,Empleado,Civil,,,,,Publicado
186723,226439,5361,30,10,2000,Antioquia,Ituango,M,,Sin información,Civil,,,,,Publicado
292267,330879,5034,23,1,2006,Antioquia,Andes,H,,Sin información,Civil,,,,,Publicado
292267,330880,5034,23,1,2006,Antioquia,Andes,H,,Sin información,Civil,,,,,Publicado
292267,330881,5034,23,1,2006,Antioquia,Andes,S,,Sin información,Civil,,,,,Publicado
292267,330882,5034,23,1,2006,Antioquia,Andes,S,,Sin información,Civil,,,,,Publicado
292267,330883,5034,23,1,2006,Antioquia,Andes,S,,Sin información,Civil,,,,,Publicado
200745,426737,76563,1,1,2012,Valle del cauca,Pradera,M,,Sin información,Civil,,,,,Publicado
201035,426889,86569,4,7,2012,Putumayo,Puerto caicedo,S,,Empleado,Civil,,,,,Publicado
201035,426890,86569,4,7,2012,Putumayo,Puerto caicedo,S,,Empleado,Civil,,,,,Publicado
201035,426893,86569,4,7,2012,Putumayo,Puerto caicedo,S,,Empleado,Civil,,,,,Publicado
